Funder ID,Status,Company Location,Company Size,Annual Revenue,Year Incorporated,Industry Sector,Lease Term,Lease Amount,Equipment Type,Business Type,Previous Lease History,Application Date
1,approved,NB,51-100,5528010,1992,Industrial & Material Handling,5,28173.881009585777,,Corporation,No,2020-09-04
3,approved,NB,51-100,5528010,1992,Industrial & Material Handling,5,28173.881009585777,,Corporation,No,2020-09-04
4,approved,NB,51-100,5528010,1992,Industrial & Material Handling,5,28173.881009585777,,Corporation,No,2020-09-04
1,approved,NB,51-100,8407005,1994,Industrial & Material Handling,1,161304.88088050907,Manufacturing Tools,Corporation,No,2020-02-14
3,approved,NB,51-100,8407005,1994,Industrial & Material Handling,1,161304.88088050907,Manufacturing Tools,Corporation,No,2020-02-14
4,approved,NB,51-100,8407005,1994,Industrial & Material Handling,1,161304.88088050907,Manufacturing Tools,Corporation,No,2020-02-14
1,approved,PEI,100+,13795098,1961,Landscaping & Agriculture,3,62541.608010483906,Landscaping Tools,Corporation,Yes,2022-10-21
3,approved,PEI,100+,13795098,1961,Landscaping & Agriculture,3,62541.608010483906,Landscaping Tools,Corporation,Yes,2022-10-21
4,approved,PEI,100+,13795098,1961,Landscaping & Agriculture,3,62541.608010483906,Landscaping Tools,Corporation,Yes,2022-10-21
1,approved,NB,1-50,2551704,2020,Service Industry,1,122577.55586205088,Service Machinery,Corporation,Yes,2024-08-16
3,approved,NB,1-50,2551704,2020,Service Industry,1,122577.55586205088,Service Machinery,Corporation,Yes,2024-08-16
4,denied,NB,1-50,2551704,2020,Service Industry,1,122577.55586205088,Service Machinery,Corporation,Yes,2024-08-16
1,denied,NS,1-50,2661188,2020,Healthcare & Wellness,1,202247.33709325633,,Corporation,No,2022-04-15
2,denied,NS,1-50,2661188,2020,Healthcare & Wellness,1,202247.33709325633,,Corporation,No,2022-04-15
3,approved,NS,1-50,2661188,2020,Healthcare & Wellness,1,202247.33709325633,,Corporation,No,2022-04-15
4,approved,NS,1-50,2661188,2020,Healthcare & Wellness,1,202247.33709325633,,Corporation,No,2022-04-15
2,approved,NB,51-100,8670567,1991,Construction & Transportation,2,139101.36499955552,Software,Corporation,Yes,2016-07-18
1,denied,NS,51-100,6068765,2006,Landscaping & Agriculture,1,94042.95284163837,,Corporation,No,2017-01-09
3,approved,NS,51-100,6068765,2006,Landscaping & Agriculture,1,94042.95284163837,,Corporation,No,2017-01-09
4,approved,NS,51-100,6068765,2006,Landscaping & Agriculture,1,94042.95284163837,,Corporation,No,2017-01-09
2,approved,NS,1-50,3730217,1993,Landscaping & Agriculture,5,161114.1033689089,Technology,Corporation,No,2022-07-14
3,approved,NS,1-50,3730217,1993,Landscaping & Agriculture,5,161114.1033689089,Technology,Corporation,No,2022-07-14
1,approved,NS,100+,18477923,1968,Landscaping & Agriculture,1,151630.40289806726,Heavy Machinery,Corporation,Yes,2023-08-11
3,approved,NS,100+,18477923,1968,Landscaping & Agriculture,1,151630.40289806726,Heavy Machinery,Corporation,Yes,2023-08-11
4,approved,NS,100+,18477923,1968,Landscaping & Agriculture,1,151630.40289806726,Heavy Machinery,Corporation,Yes,2023-08-11
2,approved,NB,1-50,1581076,2001,Landscaping & Agriculture,3,162777.75893293688,Technology,Corporation,Yes,2015-12-11
1,approved,PEI,1-50,3424690,1990,Healthcare & Wellness,4,172231.4474975927,Medical Devices,Corporation,No,2024-08-09
2,approved,PEI,1-50,3424690,1990,Healthcare & Wellness,4,172231.4474975927,Medical Devices,Corporation,No,2024-08-09
3,approved,PEI,1-50,3424690,1990,Healthcare & Wellness,4,172231.4474975927,Medical Devices,Corporation,No,2024-08-09
4,approved,PEI,1-50,3424690,1990,Healthcare & Wellness,4,172231.4474975927,Medical Devices,Corporation,No,2024-08-09
2,approved,PEI,1-50,4876420,2019,Construction & Transportation,5,208090.38615859204,Software,Corporation,Yes,2019-03-04
1,denied,NS,51-100,7590256,2012,Healthcare & Wellness,4,141278.9047526758,Medical Devices,Corporation,No,2018-12-28
3,approved,NS,51-100,7590256,2012,Healthcare & Wellness,4,141278.9047526758,Medical Devices,Corporation,No,2018-12-28
4,approved,NS,51-100,7590256,2012,Healthcare & Wellness,4,141278.9047526758,Medical Devices,Corporation,No,2018-12-28
1,approved,PEI,51-100,7738495,2001,Healthcare & Wellness,2,171684.1340341339,Computers,Corporation,Yes,2016-12-09
3,approved,PEI,51-100,7738495,2001,Healthcare & Wellness,2,171684.1340341339,Computers,Corporation,Yes,2016-12-09
4,approved,PEI,51-100,7738495,2001,Healthcare & Wellness,2,171684.1340341339,Computers,Corporation,Yes,2016-12-09
2,approved,NS,51-100,7469724,2005,Industrial & Material Handling,3,121439.76290919338,Compututing Systems,Corporation,No,2024-07-12
1,approved,NS,1-50,4086972,1992,Healthcare & Wellness,2,165292.46016495326,Computers,Corporation,No,2016-02-11
2,denied,NS,1-50,4086972,1992,Healthcare & Wellness,2,165292.46016495326,Computers,Corporation,No,2016-02-11
3,approved,NS,1-50,4086972,1992,Healthcare & Wellness,2,165292.46016495326,Computers,Corporation,No,2016-02-11
4,approved,NS,1-50,4086972,1992,Healthcare & Wellness,2,165292.46016495326,Computers,Corporation,No,2016-02-11
1,approved,NS,1-50,2748826,2004,Construction & Transportation,1,44124.05744697725,Construction Vehicles,Corporation,Yes,2023-05-26
3,approved,NS,1-50,2748826,2004,Construction & Transportation,1,44124.05744697725,Construction Vehicles,Corporation,Yes,2023-05-26
2,approved,NB,51-100,5067072,2008,Healthcare & Wellness,5,146902.03414792538,Software,Corporation,No,2024-07-09
1,approved,NB,51-100,4806490,2005,Healthcare & Wellness,4,188911.53085261668,Computers,Corporation,No,2017-04-07
3,approved,NB,51-100,4806490,2005,Healthcare & Wellness,4,188911.53085261668,Computers,Corporation,No,2017-04-07
4,approved,NB,51-100,4806490,2005,Healthcare & Wellness,4,188911.53085261668,Computers,Corporation,No,2017-04-07
1,approved,NS,51-100,6365986,1997,Service Industry,2,173927.30792748145,,Corporation,Yes,2023-02-09
3,approved,NS,51-100,6365986,1997,Service Industry,2,173927.30792748145,,Corporation,Yes,2023-02-09
4,approved,NS,51-100,6365986,1997,Service Industry,2,173927.30792748145,,Corporation,Yes,2023-02-09
1,approved,PEI,51-100,8429945,1999,Industrial & Material Handling,1,169360.98812741783,Heavy Tools,Corporation,No,2023-02-03
3,approved,PEI,51-100,8429945,1999,Industrial & Material Handling,1,169360.98812741783,Heavy Tools,Corporation,No,2023-02-03
4,approved,PEI,51-100,8429945,1999,Industrial & Material Handling,1,169360.98812741783,Heavy Tools,Corporation,No,2023-02-03
1,approved,PEI,51-100,7326765,2008,Construction & Transportation,2,156367.51047804265,Transport Machinery,Corporation,No,2019-09-06
1,approved,NB,1-50,1099053,2018,Healthcare & Wellness,1,58591.11868029238,Medical Devices,Corporation,No,2023-01-11
2,approved,NB,1-50,1099053,2018,Healthcare & Wellness,1,58591.11868029238,Medical Devices,Corporation,No,2023-01-11
3,denied,NB,1-50,1099053,2018,Healthcare & Wellness,1,58591.11868029238,Medical Devices,Corporation,No,2023-01-11
4,approved,NB,1-50,1099053,2018,Healthcare & Wellness,1,58591.11868029238,Medical Devices,Corporation,No,2023-01-11
1,approved,NS,100+,15606991,1957,Service Industry,3,44904.63972839974,,Corporation,Yes,2017-08-01
3,approved,NS,100+,15606991,1957,Service Industry,3,44904.63972839974,,Corporation,Yes,2017-08-01
4,approved,NS,100+,15606991,1957,Service Industry,3,44904.63972839974,,Corporation,Yes,2017-08-01
2,approved,NS,51-100,3531691,2003,Healthcare & Wellness,2,187368.72057158515,Software,Corporation,No,2017-12-25
1,approved,NS,100+,11029332,1969,Industrial & Material Handling,4,169458.18735684274,,Corporation,Yes,2015-10-28
3,approved,NS,100+,11029332,1969,Industrial & Material Handling,4,169458.18735684274,,Corporation,Yes,2015-10-28
4,approved,NS,100+,11029332,1969,Industrial & Material Handling,4,169458.18735684274,,Corporation,Yes,2015-10-28
1,approved,NS,1-50,1860497,2017,Service Industry,5,96833.63232945323,Service Machinery,Corporation,Yes,2019-03-21
2,approved,NS,1-50,1860497,2017,Service Industry,5,96833.63232945323,Service Machinery,Corporation,Yes,2019-03-21
3,approved,NS,1-50,1860497,2017,Service Industry,5,96833.63232945323,Service Machinery,Corporation,Yes,2019-03-21
4,approved,NS,1-50,1860497,2017,Service Industry,5,96833.63232945323,Service Machinery,Corporation,Yes,2019-03-21
1,approved,NS,51-100,4398939,2002,Landscaping & Agriculture,1,42380.364301736285,Landscaping Tools,Corporation,Yes,2018-03-08
3,approved,NS,51-100,4398939,2002,Landscaping & Agriculture,1,42380.364301736285,Landscaping Tools,Corporation,Yes,2018-03-08
4,approved,NS,51-100,4398939,2002,Landscaping & Agriculture,1,42380.364301736285,Landscaping Tools,Corporation,Yes,2018-03-08
1,approved,NB,1-50,3505093,2001,Healthcare & Wellness,2,72398.19561647432,,Corporation,Yes,2022-03-18
2,approved,NB,1-50,3505093,2001,Healthcare & Wellness,2,72398.19561647432,,Corporation,Yes,2022-03-18
3,approved,NB,1-50,3505093,2001,Healthcare & Wellness,2,72398.19561647432,,Corporation,Yes,2022-03-18
